,id,Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic
3146,tt29606524,Clasat,2024,"Drama, Mystery, Thriller",,0,0.0614,,0,91,,,
3147,tt18260564,Killer Book Club,2023,"Horror, Thriller",,0,1.0462,Brutal Media,0,89,4.6/10,9%,
3148,tt19308034,Jim Henson: Idea Man,2024,"Documentary, Biography",,0,0.8683,"Imagine Documentaries,Diamond Docs",0,108,7.7/10,98%,69/100
3149,tt12276028,Krazy House,2024,"Comedy, Horror",,0,1.7156,Kaap Holland Film,0,90,5.0/10,22%,
3150,tt13975458,Cube,2021,"Horror, Mystery, Sci-Fi",,0,2.9952,Shochiku,0,108,4.5/10,,
3151,tt14449392,Slumber Party Massacre,2021,Horror,,0,1.3957,"Syfy,Shout! Studios,Blue Ice Africa",0,86,5.1/10,100%,
3152,tt11540284,8-Bit Christmas,2021,"Comedy, Family",,0,5.2342,"Star Thrower Entertainment,New Line Cinema",0,98,6.7/10,84%,66/100
3153,tt11767724,Skunk,2023,Drama,,0,1.0831,"Frakas Productions,BALDR,CZAR Belgium,Screen Flanders,Telenet,Vlaams Audiovisueel Fonds,Netherlands Film Production Incentive,BNP Paribas Fortis",11590,105,7.3/10,,
3154,tt19879640,Kaliwaan,2022,"Crime, Drama, Thriller",,0,1.5607,"Viva Films,Vivamax",0,111,5.0/10,,
3155,tt13915968,Hayseed,2023,"Comedy, Mystery",,0,1.4253,"DYNMC Films,American Bravado",0,107,7.1/10,,
3156,tt11242718,The Last Victim,2021,"Action, Adventure, Crime",,0,1.3872,Decal,0,103,5.0/10,29%,34/100
3157,tt14954534,Cassandro,2023,"Biography, Drama, Sport",,0,2.3266,"Motto Pictures,Escape Artists,Grand Illusion Films,La Corriente del Golfo,Amazon MGM Studios",0,107,6.5/10,91%,76/100
3158,tt21431644,Zombie Town,2023,"Action, Adventure, Comedy","$130,802",0,1.8178,"Trimuse Entertainment Inc.,Toonz Media Group,Lookout Entertainment,Viva Pictures,Now Entertainment Group",0,93,3.8/10,44%,
3159,tt27688034,The Moon,2023,"Action, Adventure, Drama","$92,718",20000000,2.7098,"Blaad Studios,CJ ENM Studios,NaruN,Cinema Plus,Dexter Studios,CJ Entertainment",92718,129,5.8/10,,
3160,tt26443107,The Adults,2023,"Comedy, Drama",,0,2.3523,"Savage Rose Films,Dweck Productions",0,91,5.7/10,72%,71/100
3161,tt32944883,Don't Let's Go to the Dogs Tonight,2024,,,0,0.6504,Rose and Oaks Media,0,98,,,
3162,tt15096796,Monster Family 2,2021,"Animation, Comedy, Family","$76,417",0,2.7609,"Ambient Entertainment,Rothkirch Cartoon Film,Timeless Films,Warner Bros. Entertainment Germany",6722205,103,4.9/10,20%,
3163,tt21825858,Call Me Chihiro,2023,Drama,,0,2.0612,"Asmik Ace,Digital Frontier,Netflix",0,131,6.9/10,75%,
3164,tt29260436,GTMax,2024,"Action, Crime, Drama",,0,7.7744,"Inoxy Films,Versus Production",0,100,5.0/10,,
3165,tt29270596,Passport to Love,2024,"Drama, Romance",,0,0.4031,"Candlelight Media Group,SunWorld Pictures",0,87,6.1/10,,
3166,tt22866050,Dandelion,2024,"Drama, Romance","$89,433",0,1.1097,"Griffin Drive Productions,Automatik Entertainment,BondIt Media Capital,Room 252,IFC Productions",0,113,5.3/10,75%,
3167,tt20782072,Feed,2022,Horror,,2200000,2.812,"Scandinavian Content Group,Nordisk Film Sweden,Ninetone Group,TV4",0,100,4.8/10,,
3168,tt18558306,The Delinquents,2023,"Comedy, Crime, Drama","$42,279",0,0.9276,"Wanka Cine,Rizoma Films,Jaque Content,Compañia Amateur,Sancho & Punta,Jirafa,Les Films Fauves,Cine Argentino",51000,190,6.8/10,86%,85/100
3169,tt8746404,Marmaduke,2022,"Animation, Adventure, Comedy",,0,4.233,"SC Films International,Legacy Classics,Andrews McMeel Entertainment,One Cool Animation",1379888,87,3.4/10,0%,
3170,tt9340892,All My Friends Hate Me,2021,"Comedy, Horror","$80,405",0,1.8368,Endeavor Content,78361,93,6.3/10,89%,71/100
3171,tt15433600,Khufiya,2023,"Action, Biography, Crime",,0,2.0515,Vishal Bhardwaj Films,0,158,6.1/10,59%,
3172,tt20502488,Meet Me Next Christmas,2024,"Comedy, Romance",,0,3.9264,Roberts Media,0,105,5.5/10,69%,
3173,tt8635092,Everybody's Talking About Jamie,2021,"Biography, Comedy, Drama",,0,2.6494,"New Regency Pictures,Warp Films,Film4 Productions,Regency Enterprises",0,115,6.5/10,81%,62/100
3174,tt12143990,The Re-Education of Molly Singer,2023,Comedy,,0,3.0425,"Grindstone Entertainment Group,Hemlock Circle Productions",0,120,5.6/10,21%,
3175,tt24221454,Laruan,2022,"Crime, Drama, Thriller",,0,1.5981,"Vivamax,Viva Films",0,86,,,
3176,tt31888816,Decoded,2024,"Drama, Thriller, War",,0,1.1795,"As One Production,CMC Pictures,Tianjin Maoyan Weiying Culture Media,Tao Piao Piao,北京乐开花影业有限公司,上影寰亚文化发展（上海）有限公司",47219400,156,5.7/10,,
3177,tt27192829,Cells at Work!,2024,"Action, Adventure, Comedy",,0,4.5717,Warner Bros. Japan,26253461,110,,,
3178,tt9314984,The Power,2021,"Horror, Mystery, Thriller",,0,2.1017,"Air Street Films,Stigma Films,BFI,Head Gear Films,Metrol Technology,Kreo Films",0,93,5.5/10,83%,60/100
3179,tt14512538,Roadrunner: A Film About Anthony Bourdain,2021,Documentary,"$5,354,970",0,3.6167,"CNN Films,Tremolo Productions,HBO Max",3701480,119,7.7/10,91%,
3180,tt13172796,Plan B,2021,Comedy,,0,1.8988,"American High,Counterbalance Entertainment,LD Entertainment",0,107,6.7/10,96%,74/100
3181,tt15245390,Raven's Hollow,2022,"Horror, Thriller",,0,1.2765,"828 Media Capital,Cinevilla Studio,Creativity Capital,Raven's Hollow",0,98,5.2/10,,
3182,tt22302170,This Is Christmas,2022,"Comedy, Drama, Romance",,9000000,0.635,Vertigo Films,0,106,7.0/10,,
3183,tt31262680,Eks,2024,Romance,,0,3.3154,Vivamax,0,121,,,
3184,tt8400584,The Perfect Find,2023,"Comedy, Drama, Romance",,0,5.1349,"I'll Have Another,AGC Studios,HR Entertainment, Inc.,Confluential Films",0,99,5.2/10,72%,57/100
