Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Babes,2024,Comedy,"$3,800,038",3.7,5.8964,"FilmNation Entertainment,Range Media Partners,Starrpix",3.663309,104,63.0,88.0,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Wolf and the Lion,2021,"Adventure, Drama, Family","$2,072,173",11.9,3.9225,"Galatée Films,Mai Juin Productions,StudioCanal,Super Écran,SODEC,Canal+,Ciné+,Transfilm International,M6 Films,Sphere Films",15.3,99,62.0,30.0,36.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Magic Mike's Last Dance,2023,"Comedy, Drama","$26,005,156",45.0,6.8285,"Warner Bros. Pictures,Nick Wechsler Productions,Free Association",52.0,112,52.0,48.0,52.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
About My Father,2023,Comedy,"$12,089,391",29.1,5.2,"Lionsgate,Depth of Field,Media Capital Technologies",18.167819,90,57.0,37.0,39.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freud's Last Session,2023,Drama,"$906,283",10.0,2.4953,"WestEnd Films,CAA Media Finance,14 Sunset,LB Entertainment,Last Session Productions,Traveling Picture Show Company,M.Y.R.A. Entertainment,Subotica",1.697993,109,61.0,44.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bros,2022,"Comedy, Romance","$11,628,165",22.0,8.1943,"Universal Pictures,Apatow Productions,Stoller Global Solutions",14.8,115,64.0,89.0,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Boss Baby: Family Business,2021,"Animation, Adventure, Comedy","$57,300,280",82.0,12.1139,"DreamWorks Animation,Universal Pictures",146.74528,107,59.0,46.0,39.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maybe I Do,2023,"Comedy, Romance","$1,293,722",7.5,5.1071,"Fifth Season,Vincent Newman Entertainment",4.393504,95,50.0,31.0,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Salaar,2023,"Action, Crime, Drama","$8,929,282",34.0,6.7374,Hombale Films,87.2291,175,66.0,,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangubai Kathiawadi,2022,"Biography, Crime, Drama","$592,000",12.0,2.6589,"Bhansali Productions,Pen Studios",25.3,157,78.0,91.0,,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dampyr,2022,"Fantasy, Horror",,15.0,5.0945,"Sergio Bonelli Editore,Eagle Pictures,Brandon Box",0.362113,109,54.0,,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Lyle, Lyle, Crocodile",2022,"Adventure, Comedy, Family","$46,888,441",50.0,8.7547,"Eagle Pictures,Columbia Pictures",104.088441,106,61.0,71.0,51.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Big George Foreman,2023,"Biography, Drama, Sport","$5,426,772",32.0,7.7274,"Mandalay Pictures,Affirm Films",3.8,129,66.0,,45.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
The Prosecutor,2024,"Action, Thriller","$407,965",38.5,6.3497,"Mandarin Motion Pictures,China’s Huace Pictures,Super Bullet Pictures",128.093757,117,68.0,93.0,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Monsieur Aznavour,2024,"Biography, Drama, Music",,28.0,3.4427,"Kallouche Cinéma,Pathé,TF1 Films Production,Beside Productions,Logical Content Ventures,Bulgarian National Film Center,Mandarin & Compagnie",15.198387,134,73.0,,,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Munjya,2024,"Comedy, Horror",,3.592556,2.4559,Maddock Films,15.743613,121,64.0,56.0,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blacklight,2022,"Action, Drama, Thriller","$9,591,094",43.0,10.7136,"The Solution,Zero Gravity Management,Film Victoria,Lightstream Entertainment,Screen Australia,Footloose Productions,Sina Studios,Fourstar Film Partners Production,Elevate Production Finance,Monty the Dog Productions",15.902207,104,48.0,12.0,27.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mafia Mamma,2023,"Action, Comedy, Crime","$3,496,761",41.0,4.4345,"Idea(L),Vocab Films,New Sparta Films,Ingenious Media,Lipsync Productions,Cornerstone Films",3.9,101,54.0,21.0,42.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Animal Kingdom,2023,"Adventure, Drama, Horror","$11,767",15.2,4.9447,"StudioCanal,Nord-Ouest Films,France 2 Cinéma,Artémis Productions",9.138503,127,67.0,83.0,69.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Brave the Dark,2023,Drama,,0.2,3.9599,"Inspiring Films,Make Films,Triode Media",4.529925,110,,74.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Best Christmas Pageant Ever,2024,"Adventure, Comedy, Drama","$40,048,808",10.0,4.967,"Kingdom Story Company,FletChet Entertainment,Lionsgate,Lumenas Studios,Media Capital Technologies",40.262167,99,68.0,92.0,60.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Unholy,2021,"Drama, Horror, Mystery","$15,532,137",10.0,6.6434,"Ghost House Pictures,Screen Gems",30.832137,99,51.0,28.0,36.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
80 for Brady,2023,"Comedy, Drama, Sport","$39,330,588",28.0,6.6682,"199 Productions,Watch This Ready,Fifth Season,Tempesta Films",29.637811,98,59.0,59.0,52.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
K.G.F: Chapter 2,2022,"Action, Crime, Drama","$2,874,000",13.0,4.7236,"Hombale Films,Vaaraahi Chalana Chitram",90.410749,168,82.0,47.0,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaran,2024,"Action, Biography, Drama",,14.7,47.0715,"Raajkamal Films International,Sony Pictures International Productions",39.2,169,82.0,,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Roundup,2022,"Action, Adventure, Crime","$812,859",7.6,8.6155,"BA Entertainment,Hong Film,Big Punch Pictures",101.166707,106,70.0,96.0,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sound of Hope: The Story of Possum Trot,2024,Drama,"$11,647,099",8.5,2.0747,"Peacetree Productions,3.16 Productions,The Daily Wire",11.721425,130,72.0,83.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Front Room,2024,"Horror, Thriller","$3,092,269",3.5,5.936,"A24,2AM,Two & Two Pictures",3.165361,95,46.0,41.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Godland,2022,Drama,"$60,735",5.0,1.7395,"Maneki Films,Snowglobe,Join Motion Pictures,Film i Väst,Garagefilm International",1.560518,143,71.0,92.0,81.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mars Express,2023,"Animation, Action, Mystery","$200,581",7.9,2.319,"Gébéka Films,Je suis bien content,Les Productions de la Plume,Amopix,France 3 Cinéma,Everybody on Deck,Ev.L Prod,Shine Conseils",1.455713,89,75.0,100.0,76.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Easter Sunday,2022,Comedy,"$13,013,690",17.0,4.9529,"DreamWorks Pictures,Rideback",13.071438,96,53.0,40.0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Underdog,2021,"Biography, Drama, Romance","$26,514,814",25.0,5.9444,"Lionsgate,City on a Hill Productions,Kingdom Story Company",26.514814,112,71.0,75.0,53.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Poolman,2023,"Comedy, Mystery","$131,000",10.0,4.1458,"AGC Studios,Barry Linen Motion Pictures,Brickell & Broadbridge International,CatchLight Studios,Shiny Penny Productions,Wicious Pictures",0.158933,100,40.0,24.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Empire of Light,2022,"Drama, Romance","$1,177,577",13.5,5.477,"Searchlight Pictures,Neal Street Productions,TSG Entertainment",11.395604,115,67.0,45.0,54.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Soul Eater,2024,"Crime, Horror, Mystery",,3.5,6.5788,"Phase 4 Productions,Place du Marché Productions,uMedia,Star Invest Films Production,Région Grand Est,Amazon Studios France,OCS,uFund,France Télévisions,Palatine Étoile 8,SG Image 2021,Conseil Département Du Loir-Et-Cher,CNC,WTFilms,Dark Sky Films",0.864825,111,60.0,80.0,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Baby John,2024,"Action, Drama, Thriller",,21.176,5.4391,"Cine1 Studios,A for Apple Studios,Jio Studios,Vipin Agnihotri Films",6.941,162,64.0,31.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Cosmic Sin,2021,"Action, Sci-Fi",,20.0,4.8173,"308 Enterprises,BondIt Media Capital,Buffalo 8,The Exchange",0.349757,88,25.0,6.0,9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alienoid,2022,"Action, Adventure, Fantasy","$168,309",24.5,13.4012,Caper Film,12.109608,142,63.0,86.0,54.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dunki,2023,"Action, Adventure, Comedy","$7,460,159",239.0,3.0227,"Red Chillies Entertainment,Rajkumar Hirani Films,Jio Studios",501.0,159,65.0,46.0,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of Darkness,2022,"Horror, Thriller","$1,951,547",1.5,2.4939,"Creative Scotland,Animal Kingdom,Escape Plan,Selkie Productions,BFI",1.987281,87,55.0,85.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
The King's Daughter,2022,"Action, Adventure, Family","$1,758,963",40.5,2.2965,"Firstep,Brookwell-McNamara Entertainment,Kylin Pictures,Bliss Media,Lightstream Entertainment,Ingenious Media,Gravitas Ventures,Fame Universal Entertainment,Interface Productions,Lionsgate",2.2,94,52.0,20.0,31.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C'mon C'mon,2021,Drama,"$1,863,674",8.3,4.7139,"A24,Be Funny When You Can",4.3,109,74.0,,82.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piggy,2022,"Drama, Horror, Thriller","$50,966",2.4,3.7881,"Morena Films,Backup Media,Cerdita AIE",0.543064,99,62.0,91.0,72.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Eiffel,2021,"Biography, Drama, History","$444,814",26.0,2.3985,"Pathé,VVZ Production,Constantin Film,SCOPE Pictures,M6 Films,M6,Canal+",13.0,108,62.0,48.0,52.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Brian and Charles,2022,"Comedy, Drama, Sci-Fi","$430,635",1.2,2.3491,"Bankside Films,BFI,Film4 Productions,Great Point Media",0.21622,91,67.0,84.0,66.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Summer Camp,2024,Comedy,"$2,403,638",10.0,1.6506,"Saks Picture Company,Project Infinity,Taylor & Dodge",2.402245,96,44.0,8.0,41.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Limonov: The Ballad of Eddie,2024,"Biography, Drama, History",,10.5,27.0427,"Wildside,Fremantle España,Chapter 2,France 3 Cinéma,Hype Studios,Pathé",377.523,133,60.0,65.0,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Peasants,2023,"Animation, Drama, History","$155,188",7.475,4.6712,"Breakthru Films,ArtShot,DigitalKraft,Canal+,Narodowe Centrum Kultury,Mazowiecki Instytut Kultury,SKP Ślusarek Kubiak Pieczyk",10.064347,115,76.0,61.0,,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Clifford the Big Red Dog,2021,"Adventure, Comedy, Family","$48,947,356",64.0,10.3097,"Paramount Pictures,Entertainment One,New Republic Pictures,Scholastic Entertainment,Kerner Entertainment Company",107.347356,97,59.0,58.0,55.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chevalier,2022,"Biography, Drama, History","$3,541,159",35.0,3.9852,"Searchlight Pictures,Element Pictures,TSG Entertainment",4.2,104,65.0,76.0,67.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hatching,2022,"Drama, Fantasy, Horror","$182,925",3.896,3.0511,"Silva Mysterium,uMedia,Film i Väst,HOBAB,Evil Doghouse Productions",0.508,91,62.0,92.0,75.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Journey to Bethlehem,2023,"Adventure, Family, Musical","$6,820,796",6.0,1.6831,"Affirm Films,SPACE + ART Entertainment,Monarch Media,Night Light",7.77833,99,64.0,74.0,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Chernobyl: Abyss,2021,"Drama, History",,9.1,6.2549,"Non-Stop Productions,DK Entertainment,Central Partnership,KIT Film Studio,Kinoprime Foundation",6.459306,136,52.0,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Empire,2024,"Adventure, Comedy, Drama",,8.789,2.0026,"Tessalit Productions,Red Balloon Film,Ascent Film,Novak Prod,Rosa Filmes,Furyo Films",1.293747,110,52.0,57.0,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Theater Camp,2023,Comedy,"$4,009,945",5.0,6.4317,"Gloria Sanchez Productions,Topic Studios,Picturestart",4.4,93,69.0,86.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansky,2021,"Biography, Crime, Drama","$61,030",5.0,3.6653,"Above the Clouds Media Group,CaliWood Pictures,120dB Films,Carte Blanche,LB Entertainment,Lucky 13 Productions,Voltage Pictures",0.136579,119,62.0,64.0,45.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Courier,2024,"Action, Adventure, Crime",,5.4,4.1034,"Vaca Films,La Compagnie Cinématographique,Playtime,Canal+,Instituto de la Cinematografía y de las Artes Audiovisuales,Movistar+,Universal Pictures,Panache Productions,TVE",1.751343,102,60.0,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master Gardener,2022,"Drama, Mystery, Thriller","$667,114",4.1,3.3111,"Kojo Studios,Ottocento Films,Flickstar,Northern Lights",1.506008,111,61.0,71.0,63.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Beasts,2022,"Drama, Thriller","$46,105",3.9,3.0194,"Le Pacte,Arcadia Motion Pictures,Caballo Films,Cronos Entertainment AIE",10.238603,138,75.0,99.0,87.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Cyrano,2021,"Drama, Musical, Romance","$3,873,124",20.0,5.2147,"Metro-Goldwyn-Mayer,Working Title Films,Bron Studios,Creative Wealth Media Finance",3.0,122,64.0,85.0,66.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Escape from Germany,2024,"Drama, History, War","$2,616,475",1.0,3.7146,,2.601719,97,53.0,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Singham Again,2024,"Action, Drama","$2,190,000",41.1,3.6673,"Rohit Shetty Productionz,Jio Studios,Ajay Devgn FFilms,Cinergy,Reliance Entertainment",43.8,145,49.0,33.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Blind,2023,Drama,"$17,265,487",30.0,3.9354,"Tread Lively,GND Media Group,Stacey Films",17.265487,110,61.0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat Person,2023,"Comedy, Drama, Thriller","$55,548",12.0,5.7566,"StudioCanal,The New Yorker Studios,Echelon Productions,30WEST,Imperative Entertainment",0.282,118,60.0,46.0,48.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"Argentina, 1985",2022,"Biography, Crime, Drama",,20.0,3.9311,"La Unión de los Ríos,Kenya Films,Infinity Hill,Wanka Cine,Infinity Hill",58.424,141,76.0,96.0,78.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawan,2023,"Action, Crime, Drama","$15,198,530",36.15,7.763,Red Chillies Entertainment,136.698671,169,69.0,,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Used to Be Funny,2023,"Comedy, Drama","$171,756",2.0,4.843,"Barn 12,Crave",0.160499,106,64.0,83.0,74.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangelion: 3.0+1.01 Thrice Upon a Time,2021,"Animation, Action, Drama","$810,744",29.7,3.7459,khara,93.882453,155,80.0,100.0,85.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold,2022,"Action, Adventure, Thriller","$100,197",6.5,3.3843,"Deeper Water,Rogue Star Productions,Screen Australia,Stan,South Australian Film Corporation",0.176048,97,54.0,65.0,48.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taylor Swift: The Eras Tour,2023,"Documentary, Music, Musical","$180,756,269",15.0,3.0194,"Taylor Swift Productions,Silent House Productions",261.656269,169,80.0,,82.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Khel Khel Mein,2024,"Comedy, Drama",,11.76,1.9037,"T-Series,Wakaoo Films,KKM Film Ltd. Production",6.68,135,66.0,78.0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Panda Plan,2024,"Action, Comedy, Family","$40,110",25.0,38.4534,"Emei Film Studio,Mandarin Motion Pictures,Maoyan Entertainment,Wishart Media",42.23817,99,51.0,43.0,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Armageddon Time,2022,Drama,"$1,872,625",15.0,5.9407,"RT Features,Spacemaker Productions,Keep Your Head Productions,MadRiver Pictures,Focus Features",6.524886,114,65.0,76.0,74.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Devara Part 1,2024,"Action, Drama, Thriller","$5,600,000",31.764,35.7532,"N. T. R. Arts,Yuvasudha Arts",49.52,175,61.0,33.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Space Sweepers,2021,"Action, Adventure, Drama",,21.0,4.622,"Bidangil Pictures,Merry Christmas",0.024571,136,65.0,70.0,64.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Annette,2021,"Drama, Music, Musical",,15.5,1.6209,"Eurospace,Detailfilm,ARTE France Cinéma,CG Cinéma,Garidi Films,Théo Films,Tribus P Films,UGC,SCOPE Pictures,Wrong Men,Piano",3.7,140,63.0,72.0,67.0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
The Arctic Convoy,2023,"Action, Drama, History","$2,869",6.6,2.7728,Fantefilm,3.63794,109,65.0,100.0,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024,"Animation, Action, Adventure","$17,657,658",0.2,9.8574,"ufotable,Aniplex,Shueisha",44.354825,103,71.0,,61.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I.S.S.,2023,"Sci-Fi, Thriller","$6,573,799",13.8,4.6054,LD Entertainment,6.605079,96,53.0,61.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Drishyam 2,2022,"Crime, Drama, Mystery",,7.2,2.6726,"Viacom18 Studios,Panorama Studios,T-Series,Aashirvad Cinemas,Reflection Pictures Studio",41.0,140,82.0,70.0,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
A Journal for Jordan,2021,"Drama, Romance, War","$6,545,174",25.0,5.7334,"Outlier Society,Escape Artists,Bron Studios,Columbia Pictures,Creative Wealth Media Finance,Mundy Lane Entertainment",6.7,131,60.0,39.0,42.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
