,id,Title,Year,BoxOffice,Production,budget,genres,original_language,popularity,production_companies,revenue,runtime,Metacritic,imdb,rotten
7944,tt6012742,Of Skin and Men,2017,,,0,"[""Romance"", ""Drama""]",fr,0.1329,"[""Cin\u00e9t\u00e9l\u00e9films"", ""4 A 4 Productions""]",0,105,,50.0,
7945,tt6013156,What Still Remains,2018,,,0,"[""Thriller"", ""Drama""]",en,0.4758,"[""Strike the Sun Entertainment""]",0,92,,47.0,90.0
7946,tt6014434,Draug,2018,,,0,"[""Adventure"", ""History"", ""Horror"", ""Fantasy""]",sv,0.4216,"[""\u00d6dm\u00e5rden Filmproduction HB""]",0,87,,47.0,
7947,tt6014472,S.W.A.T.: Under Siege,2017,,,0,"[""Action"", ""Thriller"", ""Crime""]",en,5.0628,"[""Original Film""]",0,89,,46.0,
7948,tt6014904,The Strange Ones,2017,,,0,"[""Thriller"", ""Mystery"", ""Drama"", ""Crime""]",en,0.2826,"[""Gamechanger Films"", ""Adastra Films"", ""Archer Gray"", ""Relic Pictures"", ""Storyboard Entertainment""]",0,82,57.0,52.0,57.0
7949,tt6015328,Chasing the Dragon,2017,"$456,854",,200000000,"[""Action"", ""Thriller"", ""Crime"", ""Biography""]",cn,1.3055,"[""Mega-Vision Pictures (MVP)"", ""Bona Film Group"", ""Infinitus Entertainment""]",87965942,128,,67.0,63.0
7950,tt6015706,China Salesman,2017,,,15119234,"[""Adventure"", ""Action"", ""Thriller""]",en,1.1918,"[""""]",1637776,110,14.0,27.0,13.0
7951,tt6017756,Radioactive,2019,,,0,"[""History"", ""Romance"", ""Drama"", ""Biography""]",en,1.7846,"[""Working Title Films"", ""Shoebox Films"", ""StudioCanal""]",3507755,111,56.0,63.0,63.0
7952,tt6017942,Kin,2018,"$5,718,096",,30000000,"[""Adventure"", ""Action"", ""Thriller"", ""Sci-Fi"", ""Science Fiction"", ""Drama""]",en,2.6304,"[""21 Laps Entertainment"", ""No Trace Camping"", ""Lionsgate"", ""Summit Entertainment"", ""Good Universe"", ""Endeavor Content""]",10023153,102,35.0,58.0,36.0
7953,tt6018306,Last Flag Flying,2017,"$965,481",,0,"[""Comedy"", ""War"", ""Drama""]",en,0.9311,"[""Detour Filmproduction"", ""Zenzero Pictures"", ""Cinetic Media"", ""Amazon Studios""]",0,125,65.0,69.0,76.0
7954,tt6020428,The Pagan King: The Battle of Death,2018,,,2400000,"[""Adventure"", ""History"", ""Action"", ""Drama""]",lv,0.8218,"[""Platforma Filma""]",18598,110,,60.0,
7955,tt6021478,Épouse-moi mon pote,2017,,,0,"[""Romance"", ""Comedy""]",fr,0.9723,"[""StudioCanal"", ""M6 Films"", ""Axel Films""]",0,92,,61.0,
7956,tt6022174,Dystopia,2018,,,0,"[""Sci-Fi"", ""Science Fiction""]",en,2.6644,"[""""]",0,97,,25.0,
7957,tt6023242,Obsession,2019,,,0,"[""Thriller""]",en,1.0102,"[""Mutressa Movies"", ""Polaris Pictures""]",0,91,,53.0,
